GeneName,EnsemblGeneId,GFP-,10e2 GFP+,log2(fold_change),p_value,q_value
"COPE: coatomer protein complex, subunit epsilon",ENSGALG00000003153,42.6323,130.455,1.61353,0.00310853,0.0393831
COPS2: COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis),ENSGALG00000000404,32.0581,66.011,1.04202,6.62E-07,3.98E-05
COPS3: COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis),ENSGALG00000004834,31.2998,64.6486,1.04647,0.000143179,0.00381871
COTL1: coactosin-like 1 (Dictyostelium),ENSGALG00000017644,14.2168,82.624,2.53896,8.34E-05,0.00243054
COX11: cytochrome c oxidase assembly homolog 11 ,ENSGALG00000003017,13.6228,32.1824,1.24025,0.00043172,0.00916746
CPPED1: calcineurin-like phosphoesterase domain containing 1,ENSGALG00000002940,6.48352,38.2529,2.56072,5.88E-08,4.62E-06
"CPSF2: cleavage and polyadenylation specific factor 2, 100kDa",ENSGALG00000010783,4.06985,18.1867,2.15983,0.000104085,0.00291251
"CPSF6: cleavage and polyadenylation specific factor 6, 68kDa",ENSGALG00000019355,25.4192,64.9918,1.35434,0.000323416,0.00731352
"CRAMP1L: Crm, cramped-like (Drosophila)",ENSGALG00000009341,12.214,28.3395,1.21427,2.04E-06,0.000103929
CRCP: CGRP receptor component,ENSGALG00000002587,33.3861,70.1362,1.07091,0.000239474,0.00576739
CREBL2: cAMP responsive element binding protein-like 2,ENSGALG00000014314,6.77699,13.8686,1.0331,0.000320181,0.00725444
CRELD2: cysteine-rich with EGF-like domains 2,ENSGALG00000008551,8.63826,33.4156,1.95171,7.31E-06,0.000321205
CRK: Adapter molecule crk,ENSGALG00000002656,17.9607,41.541,1.20969,2.04E-14,6.44E-12
CRNKL1: crooked neck pre-mRNA splicing factor-like 1 (Drosophila),ENSGALG00000008429,12.2798,33.4884,1.44738,2.19E-05,0.000838183
CRY1: cryptochrome 1 (photolyase-like),ENSGALG00000012638,22.7818,48.4822,1.08957,0.000188207,0.00472899
"CRYM: crystallin, mu",ENSGALG00000002484,1.62266,8.11679,2.32255,0.000267961,0.00633576
"CRYZ: crystallin, zeta (quinone reductase)",ENSGALG00000011361,6.37443,27.3095,2.09904,1.48E-09,1.71E-07
"CSNK1D: casein kinase 1, delta",ENSGALG00000002719,29.3371,72.4587,1.30443,7.57E-06,0.000329696
"CSNK1G1: casein kinase 1, gamma 1",ENSGALG00000002279,26.8596,56.5236,1.07342,2.32E-05,0.000879349
CSRP2BP: CSRP2 binding protein,ENSGALG00000008707,15.4626,33.5874,1.11914,0.00241627,0.0333265
CTBP1: C-terminal binding protein 1,ENSGALG00000015718,49.3424,101.197,1.03627,1.20E-07,8.81E-06
CTCF: CCCTC-binding factor (zinc finger protein),ENSGALG00000001817,17.3555,50.094,1.52924,0.00395549,0.046224
"CTDP1: CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",ENSGALG00000012653,16.9167,35.9365,1.08701,1.67E-06,8.77E-05
"CTDSPL: CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",ENSGALG00000005710,28.6161,70.7871,1.30666,0.000567542,0.011301
"CTDSPL2: CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",ENSGALG00000008199,17.3495,37.8456,1.12523,0.00369536,0.0440217
CTH: cystathionase (cystathionine gamma-lyase),ENSGALG00000011331,35.0829,198.1,2.49739,3.36E-06,0.000161513
CTPS1: CTP synthase 1,ENSGALG00000000675,30.1349,102.294,1.76322,7.83E-05,0.00232192
CUL1: cullin 1,ENSGALG00000012402,54.9024,154.664,1.49419,4.14E-06,0.000193104
CUL2: cullin 2,ENSGALG00000007095,26.0341,67.844,1.38182,4.22E-15,1.51E-12
CUL3: cullin 3,ENSGALG00000005108,54.8759,149.783,1.44863,0.00325473,0.0404235
CUL5: cullin 5,ENSGALG00000017165,17.5887,37.9337,1.10883,0.000162982,0.00421208
CUTC: cutC copper transporter homolog (E. coli),ENSGALG00000007424,18.2157,62.8746,1.7873,0.00230992,0.0324934
CXCR4: chemokine (C-X-C motif) receptor 4,ENSGALG00000012357,34.9683,114.229,1.70782,0.00084457,0.0153026
CXorf23: chromosome X open reading frame 23,ENSGALG00000016418,6.29901,14.114,1.16393,0.0029194,0.0377871
"CYP20A1: cytochrome P450, family 20, subfamily A, polypeptide 1",ENSGALG00000008730,15.8263,39.347,1.31393,0.00441989,0.0495303
CYP27C1: cytochrome P450 family 27 subfamily C polypeptide 1 ,ENSGALG00000011532,7.57628,25.0246,1.72378,0.00214761,0.0308804
"CYP2R1:  cytochrome P450, family 2, subfamily R, polypeptide 1 ",ENSGALG00000006050,7.83687,19.8686,1.34214,0.00336874,0.041182
CZH9ORF80,ENSGALG00000020528,22.901,80.3333,1.81059,0.00117536,0.0197903
DAB1: disabled homolog 1 (Drosophila),ENSGALG00000010857,12.5063,27.5773,1.14083,5.51E-06,0.000249605
"DACT2: dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)",ENSGALG00000011288,46.0664,186.332,2.01609,1.27E-06,6.96E-05
"DAGLA: diacylglycerol lipase, alpha",ENSGALG00000013306,12.1937,35.9484,1.55979,7.57E-05,0.00225248
DBR1: Lariat debranching enzyme,ENSGALG00000001190,12.0359,30.7164,1.35166,0.0031322,0.0396185
DCAF13: DDB1 and CUL4 associated factor 13,ENSGALG00000016073,28.9829,77.1629,1.4127,0.00419869,0.0480554
DCAF7: DDB1 and CUL4 associated factor 7,ENSGALG00000000510,7.00884,17.535,1.32299,0.00140629,0.0226024
DCP2: decapping enzyme homolog,ENSGALG00000000215,16.0259,35.6523,1.15359,0.00415673,0.0477155
"DCUN1D4: DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)",ENSGALG00000014078,4.71762,18.4923,1.9708,1.85E-06,9.47E-05
DDI2: DNA-damage inducible 1 homolog 2 (S. cerevisiae),ENSGALG00000010072,28.5098,80.9643,1.50583,1.62E-05,0.000640077
DDX1: DEAD (Asp-Glu-Ala-Asp) box polypeptide 1,ENSGALG00000016461,56.7288,132.987,1.22913,0.000473349,0.00984668
DDX17: DEAD (Asp-Glu-Ala-Asp) box helicase 17,ENSGALG00000012247,9.31216,27.1023,1.54123,0.00426561,0.0484884
DDX18: DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,ENSGALG00000012147,33.6594,108.853,1.6933,0.00011059,0.00305788
DDX20: DEAD (Asp-Glu-Ala-Asp) box polypeptide 20,ENSGALG00000001504,9.3268,24.9414,1.41909,2.71E-05,0.000997699
DDX21: DEAD (Asp-Glu-Ala-Asp) box helicase 21,ENSGALG00000004144,26.984,74.6197,1.46745,0.00324533,0.0403711
DDX3X: DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3,ENSGALG00000016231,72.0242,201.678,1.4855,0.00136119,0.0220598
DDX49: DEAD (Asp-Glu-Ala-Asp) box polypeptide 49,ENSGALG00000003130,10.6512,22.1475,1.05613,0.00055667,0.0111697
DDX5: DEAD (Asp-Glu-Ala-Asp) box helicase 5,ENSGALG00000003532,142.282,376.251,1.40295,0.00400484,0.0466605
DDX54: DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,ENSGALG00000007490,6.75491,15.9756,1.24186,4.21E-05,0.00140659
DENND1B: DENN/MADD domain containing 1B,ENSGALG00000002246,1.8834,6.62349,1.81425,0.00224575,0.0317824
DENND4A: DENN/MADD domain containing 4A,ENSGALG00000007500,28.7198,62.8681,1.13028,0.000876722,0.0157264
DENND5A: DENN/MADD domain containing 5A,ENSGALG00000005840,26.9447,78.5564,1.54373,0,0
DERA: deoxyribose-phosphate aldolase (putative),ENSGALG00000013095,3.14444,12.7722,2.02213,0.00440228,0.0494033
"DFNA5: deafness, autosomal dominant 5",ENSGALG00000010997,3.74022,12.2076,1.70658,0.00315118,0.0397433
"DICER1: dicer 1, ribonuclease type III",ENSGALG00000010999,49.4312,129.758,1.39233,2.96E-10,3.95E-08
DIP2A: DIP2 disco-interacting protein 2 homolog A,ENSGALG00000006228,12.4344,40.5462,1.70523,2.65E-11,4.61E-09
DIP2B: DIP2 disco-interacting protein 2 homolog B,ENSGALG00000006139,16.8425,46.858,1.47619,9.07E-05,0.00259475
DISC1: disrupted in schizophrenia 1,ENSGALG00000020014,3.37023,19.3871,2.52418,0.000352387,0.00783205
DLC1: deleted in liver cancer 1,ENSGALG00000013715,25.0242,74.7272,1.57831,0.00256954,0.0347626
DMAP1: DNA methyltransferase 1 associated protein 1,ENSGALG00000010104,15.2955,32.9176,1.10575,0.00154676,0.0243112
"DNAH10: dynein, axonemal, heavy chain 10",ENSGALG00000003170,4.0003,15.901,1.99094,0.00041535,0.00892768
"DNAJA2: DnaJ (Hsp40) homolog, subfamily A, member 2",ENSGALG00000004115,59.6145,188.495,1.66079,0.000543697,0.0110102
"DNAJA4: DnaJ (Hsp40) homolog, subfamily A, member 4",ENSGALG00000003251,12.0312,43.6003,1.85756,6.11E-05,0.00191289
"DNAJB4: DnaJ (Hsp40) homolog, subfamily B, member 4",ENSGALG00000008916,12.9607,31.9277,1.30067,0.000759032,0.0141708
"DNAJB6: DnaJ (Hsp40) homolog, subfamily B, member 6",ENSGALG00000006477,15.3203,42.2487,1.46346,0.000772965,0.0142937
"DNAJB9: DnaJ (Hsp40) homolog, subfamily B, member 9",ENSGALG00000009492,6.06149,21.2964,1.81286,0.000513578,0.0104859
"DNAJC13: DnaJ (Hsp40) homolog, subfamily C, member 13",ENSGALG00000011678,18.2646,40.2077,1.13842,1.09E-07,8.12E-06
"DNAJC21: DnaJ (Hsp40) homolog, subfamily C, member 21 ",ENSGALG00000003387,5.66507,18.2232,1.68561,0.00013798,0.00369696
"DNAJC5: DnaJ (Hsp40) homolog, subfamily C, member 5",ENSGALG00000006046,20.6946,48.5133,1.22912,0.00247022,0.0338904
"DNAL4: dynein, axonemal, light chain 4",ENSGALG00000012201,7.83245,30.0294,1.93884,0.00384537,0.0452772
"DPM1: dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit",ENSGALG00000017366,15.7936,84.8454,2.4255,1.49E-05,0.000599249
DPP6: dipeptidyl-peptidase 6,ENSGALG00000006314,5.55391,28.4877,2.35877,5.67E-12,1.14E-09
DPP8: dipeptidyl-peptidase 8,ENSGALG00000007437,6.026,15.0106,1.31671,6.21E-10,7.70E-08
DPP9: dipeptidyl-peptidase 9,ENSGALG00000004200,11.2409,24.9241,1.14878,3.40E-05,0.00120158
DPY19L1: dpy-19-like 1 (C. elegans),ENSGALG00000012158,15.8218,52.2132,1.7225,3.38E-10,4.41E-08
DPY19L4: dpy-19-like 4 (C. elegans),ENSGALG00000015975,11.7022,33.3588,1.51129,3.24E-07,2.14E-05
"DUS2L: dihydrouridine synthase 2-like, SMM1 homolog",ENSGALG00000003407,7.7923,21.9536,1.49433,0.000772305,0.0142929
DUSP4: dual specificity protein phosphatase 4,ENSGALG00000011419,18.1921,48.8981,1.42647,0.00036582,0.00808436
DUT: deoxyuridine triphosphatase,ENSGALG00000004954,24.5127,65.5646,1.41939,8.40E-06,0.000359614
"DYNC1LI2: dynein, cytoplasmic 1, light intermediate chain 2",ENSGALG00000005241,3.96904,14.1462,1.83355,0.00408672,0.0471437
"DYNLRB1: dynein, light chain, roadblock-type 1",ENSGALG00000001913,33.8581,92.699,1.45305,0.00186095,0.0279285
DYX1C1: dyslexia susceptibility 1 candidate 1 ,ENSGALG00000004387,7.15278,14.6064,1.03003,0.00067742,0.0129481
E2F6: E2F transcription factor 6,ENSGALG00000016454,8.00639,24.1214,1.59109,0.000292551,0.00678655
E4F1: E4F transcription factor 1 ,ENSGALG00000005900,12.4591,31.7734,1.35062,2.50E-08,2.18E-06
EBF1: early B-cell factor 1,ENSGALG00000003699,31.4766,188.994,2.58599,1.50E-09,1.73E-07
ECD: ecdysoneless homolog (Drosophila),ENSGALG00000002686,9.87714,35.5953,1.84952,0.000902393,0.0161373
ECHDC2: enoyl CoA hydratase domain containing 2,ENSGALG00000010647,9.35805,49.4424,2.40147,4.19E-05,0.0014016
EDNRA: endothelin receptor type A,ENSGALG00000010013,5.64981,17.1897,1.60527,0.00383888,0.0452464
EDNRB: endothelin receptor type B precursor,ENSGALG00000016912,2.28728,44.2669,4.27452,8.81E-11,1.33E-08
EFCAB7: EF-hand calcium binding domain 7,ENSGALG00000007821,33.5068,88.5658,1.40229,1.95E-10,2.68E-08
EFCAB7: EF-hand calcium binding domain 7,ENSGALG00000010998,4.92871,13.0256,1.40207,0.000328337,0.00738189
EFNA5: ephrin-A5,ENSGALG00000000280,71.0163,192.467,1.43839,0.00245699,0.0337684
EFTUD1: elongation factor Tu GTP binding domain containing 1,ENSGALG00000006225,10.1554,28.6531,1.49644,0.00111917,0.0192468
EIF1AY: X-linked eukaryotic translation initiation factor 1A ,ENSGALG00000016410,22.9652,136.589,2.57232,4.62E-09,4.83E-07
"EIF2S2: eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa",ENSGALG00000002045,156.516,440.326,1.49226,0.000443771,0.00939772
EIF4A2: eukaryotic translation initiation factor 4A2,ENSGALG00000008684,51.8046,149.616,1.53011,0.00248181,0.0340066
EIF4A3: eukaryotic translation initiation factor 4A3,ENSGALG00000008530,75.3881,204.799,1.4418,1.53E-12,3.50E-10
"EIF4G1: eukaryotic translation initiation factor 4 gamma, 1",ENSGALG00000008520,37.7602,77.5589,1.03843,1.80E-06,9.27E-05
EIF5A2: eukaryotic translation initiation factor 5A2,ENSGALG00000009309,304.792,933.193,1.61435,1.72E-07,1.20E-05
ELAC2: elaC homolog 2 (E. coli),ENSGALG00000001036,21.1365,46.2226,1.12886,0.000583946,0.0115684
Enah: enabled homolog (Drosophila),ENSGALG00000009303,34.1687,78.9709,1.20864,0.000145267,0.00385238
ENC1: ectodermal-neural cortex 1 (with BTB-like domain),ENSGALG00000014930,21.6103,108.198,2.32388,2.18E-05,0.000833591
Entpd4/Gm21685: ectonucleoside triphosphate diphosphohydrolase 4,ENSGALG00000000390,6.18979,13.4655,1.1213,5.29E-05,0.00169354
EPC2: enhancer of polycomb homolog 2,ENSGALG00000012453,26.6946,60.9246,1.19048,0.00420084,0.0480562
"ERCC3: excision repair cross-complementing rodent repair deficiency, complementation group 3",ENSGALG00000011515,14.8949,38.1727,1.35772,0.000101645,0.002859
"ERCC3: excision repair cross-complementing rodent repair deficiency, complementation group 3",ENSGALG00000013932,4.50133,11.5354,1.35765,4.16E-05,0.00139458
"ERCC6: excision repair cross-complementing rodent repair deficiency, complementation group 6",ENSGALG00000006254,18.8028,39.6455,1.07621,8.83E-10,1.06E-07
ERI3: ERI1 exoribonuclease family member 3,ENSGALG00000010106,46.7613,151.51,1.69602,1.79E-06,9.27E-05
"ESF1: ESF1, nucleolar pre-rRNA processing protein, homolog ",ENSGALG00000008708,25.012,85.2724,1.76946,0.000119433,0.00324849
ETF1: eukaryotic translation termination factor 1,ENSGALG00000002262,43.9109,122.341,1.47825,7.33E-07,4.33E-05
ETNK1: ethanolamine kinase 1,ENSGALG00000013205,9.47324,38.7456,2.0321,4.55E-14,1.33E-11
ETS1: v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),ENSGALG00000001143,15.9917,58.9163,1.88134,4.97E-05,0.0016171
EVL: Enah/Vasp-like,ENSGALG00000011209,8.32409,28.7027,1.78582,0.00179089,0.027139
EXO1: exonuclease 1,ENSGALG00000010748,27.8077,77.7443,1.48325,0.000810744,0.0147816
EXOC1: exocyst complex component 1,ENSGALG00000013778,7.58935,19.6222,1.37044,7.51E-06,0.000328236
EXOSC8: exosome component 8,ENSGALG00000017048,31.5771,98.4344,1.64028,0.00272732,0.0361857
EXTL3: exostoses (multiple)-like 3,ENSGALG00000016630,13.5913,32.2332,1.24586,0.000930834,0.0165697
EZH2: enhancer of zeste homolog 2 (Drosophila),ENSGALG00000012405,29.5432,86.6373,1.55216,0.00107477,0.0186941
"FABP3: fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",ENSGALG00000000620,1.97495,31.1067,3.97734,0.000428044,0.0091155
FADD: Fas (TNFRSF6)-associated via death domain,ENSGALG00000007625,8.92231,31.2702,1.8093,0.00307185,0.0391736
FADS1: fatty acid desaturase 1,ENSGALG00000020485,1.17623,8.55803,2.86311,0.000543975,0.0110102
FAF1: Fas (TNFRSF6) associated factor 1,ENSGALG00000010536,15.0288,47.6548,1.66489,2.51E-07,1.69E-05
"FAM105B: family with sequence similarity 105, member B",ENSGALG00000019543,1.22698,5.5441,2.17584,0.00341371,0.041471
"FAM114A2: family with sequence similarity 114, member A2",ENSGALG00000004068,7.89814,21.2387,1.42711,0.00115245,0.0196312
FAM122A: family with sequence similarity 122A,ENSGALG00000006127,46.5907,94.4571,1.01962,0.00204381,0.0298933
"FAM126A: family with sequence similarity 126, member A",ENSGALG00000010925,8.85063,20.1246,1.18511,9.57E-06,0.000403096
"FAM149A: family with sequence similarity 149, member A",ENSGALG00000013503,2.78259,8.55525,1.62038,0.0004129,0.00890375
"FAM169A: family with sequence similarity 169, member A",ENSGALG00000014943,13.2468,45.7866,1.78928,1.54E-10,2.17E-08
"FAM175B: family with sequence similarity 175, member B",ENSGALG00000009712,16.0807,37.4979,1.22147,0.000103978,0.00291251
"FAM178B: family with sequence similarity 178, member B",ENSGALG00000003481,0.350373,17.4213,5.63582,0.00329289,0.0407456
"FAM198A: family with sequence similarity 198, member A",ENSGALG00000011521,1.504,10.7962,2.84365,4.83E-05,0.00157942
"FAM199X: family with sequence similarity 199, X-linked",ENSGALG00000008872,4.61178,14.4685,1.64952,0.00359832,0.0431521
"FAM49A: family with sequence similarity 49, member A",ENSGALG00000016463,15.5507,35.3224,1.18361,0.00256215,0.034723
"FAM49B: family with sequence similarity 49, member B",ENSGALG00000016306,20.6464,52.5591,1.34805,0.00038423,0.00843535
FAM53A,ENSGALG00000015713,10.6287,24.2511,1.19009,0.00325685,0.040425
"FAM54A: family with sequence similarity 54, member A",ENSGALG00000019967,15.6184,35.295,1.17621,0.00400443,0.0466605
"FAM89A: family with sequence similarity 89, member A",ENSGALG00000023110,36.7249,118.197,1.68636,0.00255975,0.0347193
FASTKD2: FAST kinase domains 2,ENSGALG00000008529,15.9604,38.6459,1.27582,5.21E-06,0.000237532
FBN2: fibrillin 2,ENSGALG00000014686,12.1015,47.928,1.98569,1.09E-10,1.61E-08
FBXL3: F-box and leucine-rich repeat protein 3,ENSGALG00000016916,5.45858,20.8449,1.9331,0.0023454,0.0326809
FBXL4: F-box and leucine-rich repeat protein 4,ENSGALG00000015490,8.75158,26.3034,1.58763,0.000157471,0.00408776
FBXO38: F-box protein 38,ENSGALG00000000546,6.26622,15.4876,1.30545,1.30E-05,0.000530689
FBXW2: F-box and WD-40 domain protein 2,ENSGALG00000000864,7.9499,22.1806,1.48029,8.70E-05,0.00250387
FECH: ferrochelatase,ENSGALG00000003066,6.64268,24.3844,1.87612,7.44E-05,0.00222426
FEM1B: fem-1 homolog b ,ENSGALG00000023277,16.1577,49.5408,1.6164,0.000220785,0.00536715
FGFR1OP: FGFR1 oncogene partner,ENSGALG00000011423,10.9925,30.6781,1.48069,6.91E-05,0.0021042
FIGN: fidgetin,ENSGALG00000011069,25.2394,73.8723,1.54935,0.00237241,0.0329582
FIP1L1: FIP1 like 1 (S. cerevisiae),ENSGALG00000013943,48.3282,128.999,1.41642,0.000342387,0.0076462
FN3K: fructosamine 3 kinase,ENSGALG00000001531,1.23811,7.99582,2.69111,5.84E-05,0.00185029
FNDC1: fibronectin type III domain containing 1,ENSGALG00000011663,4.1498,27.2885,2.71718,3.73E-06,0.000176677
FoxD3: forkhead box D3,FOXD3,6.08377,27.9032,2.19739,0.000414199,0.00891711
FOXN2: forkhead box N2,ENSGALG00000008942,6.51123,14.9358,1.19777,1.83E-11,3.35E-09
FOXRED2: FAD-dependent oxidoreductase domain containing 2,ENSGALG00000012530,8.63132,31.8595,1.88407,8.05E-07,4.67E-05
FREM2: FRAS1 related extracellular matrix protein 2,ENSGALG00000017041,10.274,34.1923,1.73467,5.96E-08,4.67E-06
FRMPD4: FERM and PDZ domain containing 4 ,ENSGALG00000016594,5.19578,14.2876,1.45935,0.000584887,0.0115772
FRS2: fibroblast growth factor receptor substrate 2,ENSGALG00000009966,10.7476,33.5224,1.64111,0.00162387,0.0252427
FRZB: frizzled-related protein,ENSGALG00000002763,8.43224,50.6383,2.58624,1.10E-08,1.06E-06
FTSJ3: FtsJ homolog 3 (E. coli),ENSGALG00000000332,6.97298,19.0233,1.44792,0.00284662,0.0371921
FUBP1: far upstream element (FUSE) binding protein 1,ENSGALG00000008939,137.79,298.414,1.11484,3.32E-07,2.18E-05
"FUT8: fucosyltransferase 8 (alpha (1,6) fucosyltransferase)",ENSGALG00000008078,13.8244,29.457,1.09139,0.00195407,0.0289354
"FXR1: fragile X mental retardation, autosomal homolog 1 ",ENSGALG00000008864,45.2012,109.982,1.28283,0,0
"FYN: FYN oncogene related to SRC, FGR, YES",ENSGALG00000015022,9.57848,41.9789,2.1318,0.000105115,0.00293079
G2E3: G2/M-phase specific E3 ubiquitin protein ligase,ENSGALG00000009907,36.4516,98.3152,1.43143,0.000108692,0.00302328
G3BP1: GTPase activating protein (SH3 domain) binding protein 1,ENSGALG00000004160,72.8141,161.883,1.15267,0.00268338,0.0358454
GABARAPL1: GABA(A) receptor-associated protein like 1,ENSGALG00000014723,8.30375,29.824,1.84464,0.000951865,0.0168541
GAL3ST1: galactose-3-O-sulfotransferase 1,ENSGALG00000007781,0.827275,9.37112,3.50178,5.70E-11,8.99E-09
GALNT1: UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),ENSGALG00000013135,18.905,59.6496,1.65774,0.0016985,0.0260947
GALNT10: UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10),ENSGALG00000004033,3.17521,9.00835,1.50441,0.00151587,0.0239512
GALNT2: UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2),ENSGALG00000011106,5.70538,20.2421,1.82697,9.33E-06,0.000393603
GAN: gigaxonin ,ENSGALG00000013437,10.6018,32.4593,1.61433,4.75E-06,0.000217798
GARS: glycyl-tRNA synthetase,ENSGALG00000005694,38.5856,113.081,1.55123,3.52E-05,0.00123013
"GART: phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",ENSGALG00000015983,15.3248,61.9807,2.01595,4.86E-05,0.00158689
GATM: glycine amidinotransferase (L-arginine:glycine amidinotransferase),ENSGALG00000023435,3.96881,15.5084,1.96627,0.00354986,0.0427467
"GBE1: glucan (1,4-alpha-), branching enzyme 1",ENSGALG00000015506,4.31434,13.4713,1.64268,0.00428116,0.0485981
GCFC1: GC-rich sequence DNA-binding factor 1,ENSGALG00000015933,18.6532,44.8538,1.26581,2.94E-05,0.00107072
"GCLC: glutamate-cysteine ligase, catalytic subunit",ENSGALG00000016313,16.9795,41.7395,1.29762,1.32E-08,1.22E-06
"GCLM: glutamate-cysteine ligase, modifier subunit",ENSGALG00000005782,60.209,163.409,1.44044,0.00114253,0.0195191
GCN1L1: GCN1 general control of amino-acid synthesis 1-like 1 (yeast),ENSGALG00000007276,43.3009,87.406,1.01334,0.000125579,0.00340377
GDI2: GDP dissociation inhibitor 2,ENSGALG00000008169,110.979,266.793,1.26543,3.70E-05,0.00126923
GFPT1: glutamine--fructose-6-phosphate transaminase 1,ENSGALG00000000085,20.0952,47.337,1.23612,8.34E-05,0.00243054
GFPT2: glutamine-fructose-6-phosphate transaminase 2,ENSGALG00000013760,27.5514,82.7755,1.58708,0,0
GFRA2: GDNF family receptor alpha 2,ENSGALG00000001795,15.0852,50.7414,1.75003,0.00179507,0.0271671
GFRA3: GDNF family receptor alpha 3,ENSGALG00000007620,3.85425,15.0401,1.96429,0.000932331,0.0165828
"GJB1: gap junction protein, beta 1, 32kDa",ENSGALG00000005541,2.02135,12.6979,2.65119,0.00373359,0.044364
GK: glycerol kinase,ENSGALG00000016285,5.598,23.2891,2.05667,4.25E-10,5.43E-08
GLE1: GLE1 RNA export mediator homolog (yeast),ENSGALG00000004738,12.2293,34.4461,1.494,1.85E-05,0.000717612
"GLMN: glomulin, FKBP associated protein",ENSGALG00000005959,2.27731,11.9246,2.38854,0.00036174,0.00801703
GLUD1: glutamate dehydrogenase 1,ENSGALG00000002020,15.0114,49.7053,1.72734,0.00129673,0.0212513
Gm5424: argininosuccinate synthase pseudogene,ENSGALG00000023689,1.42431,7.07142,2.31174,0.00397285,0.0464036
"GMFB: glia maturation factor, beta",ENSGALG00000012208,21.0929,81.3243,1.94693,2.72E-06,0.000133468
"GNAI1: guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",ENSGALG00000008382,34.6468,164.255,2.24514,3.01E-11,5.16E-09
"GNAI2: guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",ENSGALG00000004639,37.9955,125.678,1.72583,0.000714105,0.0134831
"GNAI3: guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3",ENSGALG00000000041,48.7128,143.876,1.56245,5.33E-06,0.000242066
"GNAQ: guanine nucleotide binding protein (G protein), q polypeptide",ENSGALG00000015177,8.22848,25.7515,1.64596,0.00155129,0.0243624
GNAS: GNAS complex locus ,ENSGALG00000007509,25.6631,73.1579,1.51132,0.00322991,0.0402738
GNL3: guanine nucleotide binding protein-like 3 (nucleolar),ENSGALG00000001613,164.226,392.17,1.2558,0.00020725,0.00512083
GNPNAT1: glucosamine-phosphate N-acetyltransferase 1,ENSGALG00000012414,5.96947,21.3973,1.84175,0.00357496,0.042918
GOGA7: Golgin subfamily A member 7 ,ENSGALG00000003483,34.6156,78.0168,1.17236,2.77E-05,0.00101819
GOLGA5: golgin A5,ENSGALG00000010813,7.89088,15.995,1.01937,0.000451451,0.00950729
GOPC: golgi-associated PDZ and coiled-coil motif containing,ENSGALG00000014902,13.4605,35.8698,1.41403,0.00355499,0.0427864
"GORASP1: golgi reassembly stacking protein 1, 65kDa",ENSGALG00000006033,7.58701,21.7346,1.51839,0.00398662,0.0464946
"GPAM: glycerol-3-phosphate acyltransferase, mitochondrial",ENSGALG00000008795,9.38501,30.5925,1.70475,2.94E-05,0.00107072
GPATCH1: G patch domain containing 1,ENSGALG00000004839,34.2865,69.6794,1.02309,0.00118489,0.0198802
GPD2: glycerol-3-phosphate dehydrogenase 2 (mitochondrial),ENSGALG00000012543,5.07666,12.5174,1.30198,0.000609512,0.0119531
GPHR: Golgi pH regulator ,ENSGALG00000015491,2.98848,8.09759,1.43808,6.27E-06,0.00027999
GPM6B: glycoprotein M6B ,ENSGALG00000016575,10.4055,37.2908,1.84147,3.74E-11,6.23E-09
GPR180: G protein-coupled receptor 180,ENSGALG00000016897,2.50079,12.498,2.32125,3.85E-11,6.32E-09
GRAMD4: GRAM domain containing 4,ENSGALG00000013182,7.01982,15.1598,1.11074,0.0010895,0.0189039
GRB10: growth factor receptor-bound protein 10,ENSGALG00000013100,6.51705,30.7097,2.2364,4.61E-13,1.18E-10
"GRIN2A: glutamate receptor, ionotropic, N-methyl D-aspartate 2A",ENSGALG00000007278,1.68701,14.1241,3.06561,0.000280194,0.00657175
GRSF1: G-rich RNA sequence binding factor 1,ENSGALG00000011568,63.7972,143.232,1.16678,0.00295597,0.0380914
GSN: gelsolin,ENSGALG00000001446,26.2388,78.6846,1.58438,0.00256039,0.0347193
"GTF2H5: general transcription factor IIH, polypeptide 5",ENSGALG00000013733,6.90128,23.7267,1.78157,6.61E-05,0.00204738
