Gene	L3	L4	nhr-67	N2	max_wtLC/N2	RNAi_screen	Protein size(s)	Protein feature	TF	Disease ortholog	Strict human ortholog	NCBI KOG	Bork KOG	PFAM domain	WBPhenotype	NOT WBPheno
WBGene00008924|F17E5.2	0	0.56	0	0	56		531 aa					KOG0036 (Predicted mitochondrial carrier protein)	KOG0036: Predicted mitochondrial carrier protein; meNOG04533: Solute carrier protein	PF00153: Mitochondrial carrier protein		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007059|F08C6.3|vps-52	0	0.56	0	0	56		667 aa	Ncoils				KOG1961 (Vacuolar sorting protein VPS52/suppressor of actin Sac2)	KOG1961: Vacuolar sorting protein VPS52/suppressor of actin Sac2; meNOG04446: Vacuolar protein sorting	PF04129: Vps52 / Sac2 family; PF09763: Exocyst complex component Sec3		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00020162|T02G5.2	0	0.56	0	0	56		247 aa				StrictHumOrth		KOG0027: Calmodulin and related proteins (EF-Hand superfamily); meNOG07929: Calcium ion binding protein			NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00006527|C02F4.2|tax-6	0	0.56	0.31	0	56		535-597 aa	Seg				"KOG0375 (Serine-threonine phosphatase 2B, catalytic subunit)"	"COG0639: Diadenosine tetraphosphatase and related serine/threonine protein phosphatases; KOG0375: Serine-threonine phosphatase 2B, catalytic subunit; meNOG04080: Protein phosphatase"	PF00149: Calcineurin-like phosphoesterase	WBPhenotype: Gro; Unc; antibody staining increased; body size variant; brood size variant; carbon dioxide avoidance variant; egg laying levamisole resistant; egg laying serotonin hypersensitive; egg laying serotonin resistant; fat content reduced; nicotine hypersensitive; odorant positive chemotaxis defective; small; starvation suppressed pumping defective	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; fat content variant; loss of asymmetry ASE; postembryonic development variant
WBGene00001366|C33D9.1|exc-5	0.24	0.56	15.55	0	56		826-844 aa	Seg; Ncoils				KOG4424 (Predicted Rho/Rac guanine nucleotide exchange factor/faciogenital dysplasia protein 3)	"KOG4424: Predicted Rho/Rac guanine nucleotide exchange factor/faciogenital dysplasia protein 3; meNOG08419: FYVE, RhoGEF and PH domain containing protein"	PF00169: PH domain; PF00621: RhoGEF domain	WBPhenotype: Bmd; Let; Ste; Unc	NOT WBPheno: Emb; Gro; Lva; Lvl; Stp; Variant; cell corpse degradation variant; postembryonic development variant
WBGene00021469|Y39G10AR.11	7.25	4.32	15.55	0.13	55.77		788 aa	Seg; Ncoils							WBPhenotype: Emb	NOT WBPheno: Bmd; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00000800|Y23H5A.7|cars-1	15	13.11	29.54	0.27	55.56		908-909 aa	Seg; Ncoils			StrictHumOrth	KOG2007 (Cysteinyl-tRNA synthetase)	COG0215: Cysteinyl-tRNA synthetase; KOG2007: Cysteinyl-tRNA synthetase; meNOG05461: Cysteinyl trna synthetase	PF01406: tRNA synthetases class I (C) catalytic domain	WBPhenotype: Emb; Gro; Lva; Lvl; Mlt	NOT WBPheno: Bmd; Ste; Variant
WBGene00044324|ZK652.3|tag-277	691.22	444.29	448.44	12.46	55.48	WT_RNAi	94 aa				StrictHumOrth	KOG3483 (Uncharacterized conserved protein)	KOG3483: Uncharacterized conserved protein; meNOG20301: Ubiquitin protein	PF03671: Ubiquitin fold modifier 1 protein	WBPhenotype: Daf c	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00016838|C50F2.4	0	217.77	0	3.93	55.41		185 aa	SignalP; Seg							WBPhenotype: body wall muscle myosin organization defective	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00006823|C06A5.7|unc-94	16.57	3.07	0.31	0.3	55.23	nonwt_RNAi	392-401 aa	Seg			StrictHumOrth	KOG3735 (Tropomodulin and leiomodulin)	KOG3735: Tropomodulin and leiomodulin; meNOG07461: Tropomodulin protein	PF03250: Tropomodulin	WBPhenotype: Emb; Let; Ste; actin organization biogenesis variant; body wall muscle myosin organization defective; body wall muscle physiology variant	NOT WBPheno: Bmd; Gro; Lva; Lvl; Stp; Variant; postembryonic development variant
WBGene00043060|R144.12	0.32	0.55	0	0	55		333 aa	Tmhmm				TWOG0212 (Unnamed protein)				
WBGene00015231|B0511.5|cutl-14	0.55	0	0	0	55		270 aa	SignalP								NOT WBPheno: Bmd; Egl D; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; anoxia hypersensitive; postembryonic development variant
WBGene00001235|Y41C4A.10|elb-1	1456.32	418.31	1.4	26.58	54.79		118 aa				StrictHumOrth	"KOG4495 (RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin B)"	"KOG4495: RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin B; meNOG19439: Transcription elongation factor B polypeptide 2"		WBPhenotype: Bmd; Egl; Emb; Lva; Pvl; Ste; Stp; Unc; reduced brood size	
WBGene00002324|Y54E5B.3|let-49	0.54	0	0.69	0	54		251-253 aa	Seg; Ncoils			StrictHumOrth	KOG0570 (Transcriptional coactivator)	"KOG0570: Transcriptional coactivator; meNOG07759: Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors (By similarity)"	PF05983: MED7 protein	WBPhenotype: Dpy; Emb; Gro; Led; Pvl; Rup; Stp; Unc; germ cell development variant; gonad development variant; late embryonic arrest	NOT WBPheno: Bmd; Let; Ste; Variant; postembryonic development variant
WBGene00016998|D1005.4	0.54	0	0	0	54		112 aa									NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00003242|C37C3.6|mig-6	895.27	292.12	1023.8	16.79	53.32		1487-2167 aa	SignalP; Seg; Ncoils				KOG4597 (Serine proteinase inhibitor (KU family) with thrombospondin repeats)	KOG4597: Serine proteinase inhibitor (KU family) with thrombospondin repeats; meNOG04284: Serine-Type endopeptidase inhibitor	PF00014: Kunitz/Bovine pancreatic trypsin inhibitor domain; PF00090: Thrombospondin type 1 domain; PF05986: ADAM-TS Spacer 1; PF08686: PLAC (protease and lacunin) domain	WBPhenotype: Adl; Bli; Daf c; Emb; Gro; L1 arrest; Let; Lva; Lvl; Pvl; Rup; Sck; Ste; Stp; Unc; distal tip cell migration variant; embryonic arrest; excretory canal morphology variant; late larval arrest; pattern of transgene expression variant; protein expression absent; protein subcellular localization variant; receptor mediated endocytosis defective; reduced brood size; twisted pharynx	NOT WBPheno: Bmd; Variant; amphid morphology variant; anchor cell invasion variant; embryonic development variant; larval development variant; multiple anchor cells; pattern protein expression variant; pharyngeal muscle morphology variant; protein expression increased
WBGene00017258|F08F1.4	0	0.53	0	0	53		161-191 aa	Seg								NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00003898|Y39A1C.2|oxi-1	2.41	26.49	0.77	0.5	52.98		1066 aa	Seg; Ncoils			StrictHumOrth	KOG4427 (E3 ubiquitin protein ligase)	COG5021: Ubiquitin-protein ligase; KOG4427: E3 ubiquitin protein ligase; meNOG05498: Ubiquitin protein ligase			NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00004259|D2085.1|pyr-1	49.24	1.11	3.73	0.93	52.95	WT_RNAi	2198 aa	Seg		OMIM_2010			"COG0044: Dihydroorotase and related cyclic amidohydrolases; COG0458: Carbamoylphosphate synthase large subunit (split gene in MJ); COG0505: Carbamoylphosphate synthase small subunit; COG0540: Aspartate carbamoyltransferase, catalytic chain; KOG0370: Multifunctional pyrimidine synthesis protein CAD (includes carbamoyl-phophate synthetase, aspartate transcarbamylase, and glutamine amidotransferase); meNOG04405: Phosphate protein"	"PF00117: Glutamine amidotransferase class-I; PF00185: Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain; PF00289: Carbamoyl-phosphate synthase L chain, N-terminal domain; PF01979: Amidohydrolase family; PF02142: MGS-like domain; PF02222: ATP-grasp domain; PF02729: Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain; PF02786: Carbamoyl-phosphate synthase L chain, ATP binding domain; PF02787: Carbamoyl-phosphate synthetase large chain, oligomerisation domain; PF07478: D-ala D-ala ligase C-terminus; PF07722: Peptidase C26; PF08443: RimK-like ATP-grasp domain"	WBPhenotype: Clr; Emb; Gro; Led; Let; Lvl; Mlt; Unc; body elongation variant; chondroitin biosynthesis variant; cytoskeleton organization biogenesis variant; embryonic arrest; gut granules enlarged; heparan sulfate biosynthesis variant; intestinal vacuole; pharyngeal development variant; tail morphology variant	NOT WBPheno: Bmd; Ste; Variant; fat associated bodies reduced; ventral enclosure variant
WBGene00011862|T20D3.11	1.69	2.1	5.13	0.04	52.5		1843-1869 aa	Tmhmm; Seg; Ncoils					KOG1893: Uncharacterized conserved protein; meNOG05259: Annotation not available	PF12166: Protein of unknown function (DUF3595)		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016138|C26E6.2|flh-2	0.24	2.1	0	0.04	52.5	WT_RNAi	470 aa	Seg	Thomas+W_TF			LSE1046 (Unnamed protein)		PF04500: FLYWCH zinc finger domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; miRNA expression variant; postembryonic development variant
WBGene00006975|F54F2.2|zfp-1	199.47	12.13	16.48	3.81	52.35	nonwt_RNAi	211-867 aa	SignalP; Tmhmm; Seg; Ncoils	Gupta_TF	OMIM_2010	StrictHumOrth	KOG0956 (PHD finger protein AF10)	COG5141: PHD zinc finger-containing protein; KOG0956: PHD finger protein AF10; meNOG06515: Protein AF	PF00628: PHD-finger	WBPhenotype: Gro; Lvl; Muv; Pvl; RNAi resistant; Ste; ectopic expression transgene; reduced brood size; somatic transgene silencing variant; transgene expression increased	NOT WBPheno: Bmd; Emb; Let; Lva; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00019491|K07E3.2	0	10.46	2.02	0.2	52.3		750 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00005072|F37C12.17|srb-7	0.52	0	0	0	52		348 aa	Tmhmm; Seg						PF02117: Serpentine type 7TM GPCR chemoreceptor Sra; PF02175: Serpentine type 7TM GPCR chemoreceptor Srb; PF10292: Serpentine type 7TM GPCR receptor class ab chemoreceptor		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00005249|C54D10.6|srh-25	0.52	0	0	0	52		348 aa	Tmhmm; Seg						PF10318: Serpentine type 7TM GPCR chemoreceptor Srh; PF10326: Serpentine type 7TM GPCR chemoreceptor Str; PF10327: Serpentine type 7TM GPCR chemoreceptor Sri		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00006711|Y54E5B.4|ubc-16	10.89	0.58	0	0.21	51.86		152 aa				StrictHumOrth	KOG0427 (Ubiquitin conjugating enzyme)	COG5078: Ubiquitin-protein ligase; KOG0427: Ubiquitin conjugating enzyme; meNOG10002: Ubiquitin protein	PF00179: Ubiquitin-conjugating enzyme		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00020967|W03A5.2	3.63	0	0	0.07	51.86		259 aa	SignalP; Tmhmm; Seg					KOG4320: Uncharacterized conserved protein	PF10277: Frag1/DRAM/Sfk1 family		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00019653|K11G9.2	16.93	0	0	0.33	51.3		529 aa	Seg				KOG1516 (Carboxylesterase and related proteins)	COG2272: Carboxylesterase type B; KOG1516: Carboxylesterase and related proteins; meNOG11887: Carboxylesterase	PF00135: Carboxylesterase; PF07859: alpha/beta hydrolase fold		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010704|K09A11.1	2.05	0	0	0.04	51.25	WT_RNAi	605 aa	Seg	Thomas+W_TF			KOG1121 (Tam3-transposase (Ac family))	KOG1121: Tam3-transposase (Ac family); meNOG21696: Annotation not available	PF02892: BED zinc finger; PF05699: hAT family dimerisation domain		
WBGene00015429|C04E7.2|sor-3	6.65	0	0	0.13	51.15		531 aa								WBPhenotype: Lon; cell fate specification variant; distal tip cell migration variant	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00013673|Y105E8A.13	20.41	0.43	0	0.4	51.02		264 aa									NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00012425|Y10G11A.3|dlc-4	0	0.51	0	0	51		129 aa									
WBGene00001772|F37B1.1|gst-24	0.51	0	0	0	51		209 aa					KOG1695 (Glutathione S-transferase)	KOG1695: Glutathione S-transferase; meNOG14525: Glutathione protein	"PF00043: Glutathione S-transferase, C-terminal domain; PF02798: Glutathione S-transferase, N-terminal domain"		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00008425|D2045.8	0.44	0.51	0	0	51		238 aa				StrictHumOrth		"KOG2716: Polymerase delta-interacting protein PDIP1 and related proteins, contain BTB/POZ domain; meNOG07085: Domain-Containing protein"	PF00651: BTB/POZ domain; PF02214: K+ channel tetramerisation domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00022072|Y67D8C.8|cpg-9	0	0.51	0	0	51		69 aa	SignalP								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007955|C35C5.3	89.32	6.84	200.1	1.76	50.75		244-247 aa	SignalP			StrictHumOrth		KOG3286: Selenoprotein T; meNOG10339: Selenoprotein T	PF10262: Rdx family		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00012781|Y43C5A.1|nspd-7	0	61.4	0.51	1.21	50.74		70 aa	Seg				LSE4014 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00007629|C16C10.9	0	0.5	0.28	0	50		274 aa									NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00004450|F37C12.4|rpl-36	10886.08	8785.05	7956.83	219.22	49.66		104 aa					KOG3452 (60S ribosomal protein L36)	COG5051: Ribosomal protein L36E; KOG3452: 60S ribosomal protein L36; meNOG19604: Ribosomal protein L36	PF01158: Ribosomal protein L36e	WBPhenotype: Emb; Lva; Sck; Ste; transposon silencing variant	
WBGene00017028|D1044.2	0	9.9	0	0.2	49.5	WT_RNAi	1075-1137 aa	SignalP; Tmhmm; Seg; Ncoils					KOG4291: Mucin/alpha-tectorin; meNOG09926: Egf-Like domain-containing protein	PF00008: EGF-like domain; PF06119: Nidogen-like; PF07645: Calcium-binding EGF domain	WBPhenotype: axon midline crossing variant; cord commissures fail to reach target; ventral cord patterning variant	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00013886|ZC412.5	0	82.51	0	1.67	49.41		168 aa	Seg				LSE1153 (Unnamed protein)				NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00009895|F49E11.10|scl-2	16.82	2438.95	257	49.43	49.34		207 aa	SignalP				KOG3017 (Defense-related protein containing SCP domain)	KOG3017: Defense-related protein containing SCP domain; meNOG16579: Inhibitor 16 protein	PF00188: Cysteine-rich secretory protein family		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00008125|C47A4.5	0	54.19	0	1.1	49.26		75 aa	Seg				LSE0865 (Unnamed protein)				NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00016502|C37C3.10	0.49	0	0	0	49		123 aa	Seg				LSE0794 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010805|M01E5.2	0.49	0	0	0	49		358 aa	Seg			StrictHumOrth	KOG1489 (Predicted GTP-binding protein (ODN superfamily))	COG0536: Predicted GTPase; KOG1489: Predicted GTP-binding protein (ODN superfamily); meNOG05892: GTP binding protein	PF01018: GTP1/OBG; PF01926: GTPase of unknown function; PF02421: Ferrous iron transport protein B		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00003719|C50B6.14|nhr-129	0.49	0.28	0	0	49		399-420 aa	Seg; Ncoils	Walhout_TF					"PF00104: Ligand-binding domain of nuclear hormone receptor; PF00105: Zinc finger, C4 type (two domains)"		
WBGene00010281|F58G11.3	0.49	0	0	0	49		666 aa	Seg; Ncoils				LSE0871 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00003619|F43C1.4|nhr-20	0.49	0	0	0	49		457 aa		Walhout_TF			KOG3575 (Hormone receptors)	KOG3575: FOG: Hormone receptors	"PF00104: Ligand-binding domain of nuclear hormone receptor; PF00105: Zinc finger, C4 type (two domains)"		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00006923|F08B1.1|vhp-1	0.49	0.14	1.56	0	49		439-657 aa	Seg			StrictHumOrth	KOG1716 (Dual specificity phosphatase)	COG2453: Predicted protein-tyrosine phosphatase; KOG1716: Dual specificity phosphatase; meNOG11817: Dual specificity protein	"PF00581: Rhodanese-like domain; PF00782: Dual specificity phosphatase, catalytic domain"	WBPhenotype: Emb; Esp; Gro; Lva; Lvl; Rup; Sck; Slu; antimicrobial gene expression variant; pathogen resistance increased	NOT WBPheno: Bmd; Let; Ste; Variant; postembryonic development variant; transgene expression reduced
WBGene00020462|T12E12.1	9.79	0.28	3.42	0.2	48.95		482 aa	Seg; Ncoils			StrictHumOrth	KOG1812 (Predicted E3 ubiquitin ligase)	KOG1812: Predicted E3 ubiquitin ligase; meNOG05233: Protein ariadne-2 homolog	PF01485: IBR domain	WBPhenotype: organism oxidative stress resistant	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00020083|R57.2	3.9	3.85	0	0.08	48.75		216 aa	SignalP; Seg				LSE0714 (Unnamed protein)		PF01682: DB module		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00001078|F22B7.10|dpy-19	0	1.95	0	0.04	48.75	WT_RNAi	683 aa	Tmhmm; Seg				KOG4587 (Predicted membrane protein)	KOG4587: Predicted membrane protein; meNOG04561: Annotation not available			NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ram; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00008971|F20C5.6	0	4.87	0	0.1	48.7		347 aa	Ncoils					"meNOG04778: Myosin, heavy protein"			NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00019304|K02D10.4	1.94	0.56	0	0.04	48.5		227 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00006709|Y87G2A.9|ubc-14	3.87	3.79	17.65	0.08	48.38		170 aa				StrictHumOrth	KOG0426 (Ubiquitin-protein ligase)	COG5078: Ubiquitin-protein ligase; KOG0426: Ubiquitin-protein ligase; meNOG06451: Ubiquitin protein	PF00179: Ubiquitin-conjugating enzyme	WBPhenotype: Emb; morphology variant; tail morphology variant	NOT WBPheno: Bmd; Let; Ste; Variant; postembryonic development variant
WBGene00021371|Y37E11AR.4|nape-1	3.5	33.18	188.66	0.69	48.09		356 aa					KOG3798 (Predicted Zn-dependent hydrolase (beta-lactamase superfamily))	COG2220: Predicted Zn-dependent hydrolases of the beta-lactamase fold; KOG3798: Predicted Zn-dependent hydrolase (beta-lactamase superfamily); meNOG07900: N-Acyl-Phosphatidylethanolamine-Hydrolyzing phospholipase D			NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00004199|R07H5.1|prx-14	0	0.48	0	0	48		258 aa	Seg; Ncoils				KOG2629 (Peroxisomal membrane anchor protein (peroxin))	KOG2629: Peroxisomal membrane anchor protein (peroxin); meNOG08603: Peroxisomal protein	PF04695: Peroxisomal membrane anchor protein (Pex14p) conserved region	WBPhenotype: Emb; Gro; Lva; early larval arrest	NOT WBPheno: Bmd; Let; Ste; Variant; postembryonic development variant
WBGene00013969|ZK337.1|tep-1	47.54	1.26	0	1	47.54		1501-1516 aa	SignalP; Seg			StrictHumOrth	KOG1366 (Alpha-macroglobulin)	COG2373: Large extracellular alpha-helical protein; KOG1366: Alpha-macroglobulin; meNOG05765: Macroglobulin protein	PF00207: Alpha-2-macroglobulin family; PF01835: MG2 domain; PF07677: A-macroglobulin receptor; PF07678: A-macroglobulin complement component; PF07703: Alpha-2-macroglobulin family N-terminal region; PF10569: Alpha-macro-globulin thiol-ester bond-forming region		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00006452|R148.6|heh-1	0	2081.37	0	43.84	47.48	WT_RNAi	154 aa	SignalP; Seg				KOG4063 (Major epididymal secretory protein HE1)	KOG4063: Major epididymal secretory protein HE1	PF02221: ML domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00017951|F31E3.4	0	4.74	0.16	0.1	47.4		1131 aa					"KOG1275 (PAB-dependent poly(A) ribonuclease, subunit PAN2)"	"COG0847: DNA polymerase III, epsilon subunit and related 3-5 exonucleases; COG2319: FOG: WD40 repeat; KOG1275: PAB-dependent poly(A) ribonuclease, subunit PAN2; meNOG04645: Pab-Dependent poly(A)-specific ribonuclease subunit 2"	PF00929: Exonuclease		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Rde; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00001890|ZK131.10|his-16	0.47	0	0	0	47		127 aa	Seg				KOG1756 (Histone 2A)	COG5262: Histone H2A; KOG1756: Histone 2A	PF00125: Core histone H2A/H2B/H3/H4; PF00808: Histone-like transcription factor (CBF/NF-Y) and archaeal histone		
WBGene00008592|F08H9.4	0	0.47	0	0	47		147 aa					KOG3591 (Alpha crystallins)	KOG3591: Alpha crystallins	PF00011: Hsp20/alpha crystallin family	WBPhenotype: Esp; organism pathogen response variant; protein aggregation variant; thermotolerance reduced	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; transgene subcellular localization variant
WBGene00019855|R03H10.2	0	0.47	0	0	47		382 aa	Tmhmm; Seg								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001886|ZK131.6|his-12	0.47	0	0	0	47		127 aa	Seg				KOG1756 (Histone 2A)	COG5262: Histone H2A; KOG1756: Histone 2A	PF00125: Core histone H2A/H2B/H3/H4; PF00808: Histone-like transcription factor (CBF/NF-Y) and archaeal histone		
WBGene00001917|F08G2.2|his-43	0.47	0	0	0	47		127 aa	Seg				KOG1756 (Histone 2A)	COG5262: Histone H2A; KOG1756: Histone 2A	PF00125: Core histone H2A/H2B/H3/H4; PF00808: Histone-like transcription factor (CBF/NF-Y) and archaeal histone		
WBGene00021546|Y43H11AL.2	0	14.52	0	0.31	46.84	WT_RNAi	311 aa	Tmhmm			StrictHumOrth	KOG2913 (Predicted membrane protein)	KOG2913: Predicted membrane protein; meNOG09871: PQ loop repeat containing protein	PF04193: PQ loop repeat	WBPhenotype: Age; Clr; Pch; Sck; reduced brood size	NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00010871|M05B5.3	13.98	4.63	2.14	0.3	46.6		403 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017317|F09G2.9	29.28	3.21	2.18	0.63	46.48	WT_RNAi	415 aa	Seg	Thomas+W_TF						WBPhenotype: Emb; Ste; fat content increased	NOT WBPheno: Bmd; Egl; Gro; Let; Lva; Lvl; Stp; Variant; octanol chemotaxis defective; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00014175|ZK971.1	113.1	0	0	2.44	46.35		176 aa	Tmhmm; Seg								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00003129|Y37E11AL.7|map-1	1.85	0.71	0.39	0.04	46.25		371 aa				StrictHumOrth	KOG2738 (Putative methionine aminopeptidase)	COG0024: Methionine aminopeptidase; KOG2738: Putative methionine aminopeptidase; meNOG05479: Methionine protein	PF00557: Metallopeptidase family M24		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00001174|C08C3.1|egl-5	0	6	34.52	0.13	46.15	nonwt_RNAi	219-223 aa	Seg	Thomas+W_TF			KOG0489 (Transcription factor zerknullt and related HOX domain proteins)	KOG0489: Transcription factor zerknullt and related HOX domain proteins; meNOG13159: Homeobox protein Hox	PF00046: Homeobox domain	WBPhenotype: Bus; Cod; Egl D; HSN migration variant; Lin; Mab; antibody staining reduced; bag of worms; cell differentiation variant; cell survival sexually dimorphic increased; coiler; ectopic neuron; egg laying imipramine resistant; egg laying levamisole resistant; egg laying phentolamine resistant; hindgut morphology variant; male mating efficiency eliminated; male tail development variant; neuron cell body absent misplaced; reduced brood size; touch resistant tail	NOT WBPheno: Let; Variant; cuticle carbohydrate surface variant; cuticle fragile; egg laying serotonin resistant; pathogen adherence variant; postembryonic development variant
WBGene00000986|R08H2.1|dhs-23	43.36	0.35	1.53	0.94	46.13		277 aa	Seg				KOG0725 (Reductases with broad range of substrate specificities)	COG1028: Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases); KOG0725: Reductases with broad range of substrate specificities; meNOG10313: Dehydrogenase/Reductase SDR family member 10 EC	PF00106: short chain dehydrogenase; PF01370: NAD dependent epimerase/dehydratase family; PF08659: KR domain		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00002079|Y48G1A.5|xpo-2	30.37	4.46	0.93	0.66	46.02		938 aa	Seg			StrictHumOrth	KOG1992 (Nuclear export receptor CSE1/CAS (importin beta superfamily))	COG5657: CAS/CSE protein involved in chromosome segregation; KOG1992: Nuclear export receptor CSE1/CAS (importin beta superfamily); meNOG05569: Exportin-2 (Exp2) (Importin-alpha re-exporter) protein	"PF03378: CAS/CSE protein, C-terminus; PF03810: Importin-beta N-terminal domain; PF08506: Cse1"	WBPhenotype: Emb; Gro; Let; Lva; Pna; Pvl; RNAi resistant; Sck; Ste; Unc; distal tip cell migration variant; pattern of transgene expression variant; protein aggregation variant; receptor mediated endocytosis defective; reduced brood size; somatic transgene silencing variant; transgene expression increased; transgene subcellular localization variant	
WBGene00021768|Y51F10.7	0.46	0	2.92	0	46		189 aa	SignalP								NOT WBPheno: Bmd; Emb; Ste; Variant
